,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed"
09/07/2026 14:02:40,17.46,7.94,12.7,15.87,33.33,23.81,39.68,36.51,19.05,25.4,4.76,25.4,21.83,39.68,17.2462082,2666,802,1397,261.5,14,0.5807293,1.21875,1397,476.5,14,1.18591487,1.21875,1397,1083.5,14,2.53538918,1.21875,3768,1330,37.75,2.88405681,1.21875,4017,915.5,40.25,1.90081632,1.28125,4017,747.5,40.25,1.70096564,1.28125,85,1.55,1.55,99.80915
09/07/2026 14:02:42,20.63,12.7,19.05,26.98,12.7,14.29,34.92,33.33,39.68,31.75,33.33,42.86,26.85,42.86,17.31673,2298,862,1397,340.5,14,0.7426573,1.33125,3718,814,37.25,1.94738257,1.2,1652,345.5,16.5555553,0.7061387,1.2,3718,1130,37.25,2.425071,1.2,1652,1208.5,16.5555553,2.44992185,1.2,1652,1330.5,16.5555553,2.86858559,1.2,85.5,1.55,1.55,99.80911
09/07/2026 14:02:44,6.25,0,23.44,18.75,10.94,9.38,32.81,26.56,12.5,21.88,37.5,46.88,20.57,46.88,16.67937,2872,772,1624,188,17.5555553,0.378707141,1.28125,3942,677.5,39.5,1.56784487,1.28125,1971,394,19.75,0.906746,1.28125,1763,1113,17.666666,2.31077528,1.3,3967,706,39.75,1.44257975,1.3,3967,1552,39.75,3.300018,1.3,85.625,1.55,1.55,99.80914
09/07/2026 14:02:46,39.06,37.5,42.19,39.06,42.19,35.94,59.38,46.88,37.5,29.69,40.62,35.94,40.49,59.38,23.4168224,3772,1446,3793,1448.5,38,2.79679513,1.2375,3793,1510.5,38,2.91236067,1.2375,3793,1343.5,38,2.637987,1.2375,3793,1614.5,38,3.25144744,1.2375,3793,1153,38,2.292362,1.2375,3668,1603,36.75,3.244826,1.2,85.75,1.55,1.55,99.809166
09/07/2026 14:02:48,24.24,14.06,37.88,36.36,36.36,31.82,16.92,16.67,6.06,10.61,18.18,24.24,22.78,37.88,17.9016323,2520,789,3818,603.5,38.25,1.5153172,1.25,1909,1328.5,19.125,3.151542,1.25,1708,1254.5,17.11111,3.00850081,1.24375,1921,477.5,19.25,1.1263634,1.24375,3843,424.5,38.5,0.9133813,1.24375,1921,643,19.25,1.49222541,1.24375,85.75,1.55,1.55,99.8092
09/07/2026 14:02:50,9.23,3.08,12.31,4.62,10.77,4.69,43.08,18.46,12.31,29.23,4.92,26.15,14.9,43.08,15.1660948,2304,552,1397,175.5,14,0.446120322,1.30625,1397,314.5,14,0.843909,1.30625,1397,228,14,0.6102987,1.30625,3942,1190.5,39.5,3.45714712,1.30625,1752,717,17.5555553,2.01895881,1.30625,3942,688,39.5,1.876201,1.3,85.5,1.55,1.55,99.80921
09/07/2026 14:02:52,15.38,23.44,9.23,7.69,10.77,12.31,21.54,35.94,15.38,23.44,31.25,35.38,20.15,35.94,16.513,3537,721,1785,474.5,17.88889,1.36295724,1.375,4017,226,40.25,0.5572252,1.375,4017,375,40.25,1.018135,1.375,3818,1139.5,38.25,3.078801,1.26875,3793,694.5,38,1.70101821,1.26875,3793,1415.5,38,3.53431273,1.24375,85.5,1.55,1.55,99.80916
09/07/2026 14:02:54,15.38,7.94,21.54,32.31,23.81,28.12,23.08,14.06,18.46,23.08,4.76,35.94,20.71,35.94,16.706398,2316,627,1397,278.5,14,0.6578336,1.25,1397,872,14,2.20774245,1.25,1708,796.5,17.11111,2.51593947,1.25625,1708,416.5,17.11111,1.01037776,1.25625,3843,714,38.5,1.93480849,1.25625,3843,686.5,38.5,1.99747944,1.25625,85.25,1.55,1.55,99.80911
09/07/2026 14:02:56,22.73,16.67,12.12,7.58,22.73,27.27,33.33,41.54,18.18,16.67,16.67,30.3,22.15,41.54,16.8247051,2539,672,4017,575,40.25,1.486947,1.35625,1785,336,17.88889,0.7455268,1.35625,1797,729.5,18,2.091924,1.36875,1797,1051,18,2.91660857,1.36875,4042,593,40.5,1.618008,1.36875,1797,750,18,2.11515141,1.36875,85.125,1.55,1.55,99.8092
09/07/2026 14:02:58,26.56,23.44,10.94,23.08,17.19,12.5,32.81,71.88,26.56,23.44,15.38,31.25,26.25,71.88,16.7164879,3277,719,1785,561,17.88889,1.46431935,1.36875,1785,464.5,17.88889,1.25754881,1.36875,4017,346,40.25,0.919704437,1.36875,4017,1758,40.25,4.620847,1.36875,4017,606,40.25,1.50809336,1.36875,4042,577.5,40.5,1.50143576,1.3625,85.25,1.55,1.55,99.80918
