,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed"
09/08/2026 11:33:12,14.29,0,17.46,8.06,1.59,6.35,19.05,16.39,6.35,22.22,33.33,11.11,13.02,33.33,13.3595991,2415,513,1397,181,14,0.460799873,1.3375,1235,496.5,12.375,1.47170019,1.35,1976,160.5,19.8,0.350115657,1.35,1797,670,18,1.71334541,1.35,4042,628,40.5,2.05839682,1.35,4042,940.5,40.5,3.16794562,1.35,75.37501,1.55,1.55,99.80912
09/08/2026 11:33:14,10.77,1.45,6.15,1.54,3.12,7.58,27.69,4.62,6.15,7.69,44.62,10.77,11.01,44.62,12.763814,1971,449,1397,196.5,14,0.497500271,1.35,1397,198.5,14,0.495082974,1.35,1397,201,14,0.560805559,1.35,4042,598.5,40.5,2.07872629,1.35625,1797,334.5,18,0.970732868,1.35625,1797,1166,18,3.95785284,1.35625,74.62501,1.55,1.55,99.809166
09/08/2026 11:33:16,15.62,1.54,6.25,3.12,10.94,17.19,15.62,3.08,7.81,29.69,21.88,1.56,11.19,29.69,13.1281328,2786,458,1397,269,14,0.771547854,1.325,1397,198.5,14,0.478698254,1.325,4042,573,40.5,1.82230437,1.325,1797,380.5,18,1.32373416,1.325,4042,833,40.5,2.87338519,1.325,4042,495.5,40.5,1.59841537,1.325,74.75001,1.55,1.55,99.80919
09/08/2026 11:33:18,14.06,6.25,10.94,1.56,9.38,25,7.81,6.25,7.81,40.62,15.62,6.25,12.63,40.62,13.2649231,2758,471,1397,234.5,14,0.632168531,1.3375,1397,215,14,0.4681158,1.3375,1797,764.5,18,2.57503486,1.3375,3875,259,40.5,0.78648293,1.35,4042,845.5,40.5,2.96389174,1.35,4042,506.5,40.5,1.623724,1.35,74.75001,1.55,1.55,99.80924
09/08/2026 11:33:20,10.94,7.81,23.44,39.06,20.31,12.5,48.44,33.33,3.12,6.25,9.38,14.06,19.05,48.44,16.6163,2920,678,1797,384,18,1.0257802,1.325,4042,850,40.5,2.65511084,1.325,1797,521.5,18,1.51381886,1.33125,1797,1653,18,5.205949,1.33125,4042,238.5,40.5,0.608851969,1.33125,4042,423.5,40.5,1.23391593,1.33125,76.00001,1.55,1.55,99.8092
09/08/2026 11:33:22,14.06,3.12,14.06,6.25,6.25,7.81,4.69,10.94,14.06,37.5,26.56,18.75,13.67,37.5,14.0560179,3668,539,1797,252,18,0.6019324,1.3625,4042,307.5,40.5,0.7470369,1.3625,4042,204.5,40.5,0.4374817,1.36875,4042,372,40.5,1.00424,1.36875,4042,1093.5,40.5,3.65736771,1.36875,4042,1005,40.5,3.28433156,1.36875,75.75001,1.55,1.55,99.80922
09/08/2026 11:33:24,6.25,3.08,12.31,4.62,1.52,10.77,17.19,27.69,4.69,12.5,20.31,18.75,11.64,27.69,12.9252529,2388,448,1235,237,12.375,0.6934606,1.31875,1235,327.5,12.375,0.9525202,1.31875,1976,122.5,19.8,0.260516137,1.31875,1797,912,18,3.29463172,1.31875,4042,333,40.5,1.0169096,1.31875,4042,756,40.5,2.565261,1.31875,74.87501,1.55,1.55,99.809166
09/08/2026 11:33:26,6.15,7.81,6.15,3.12,7.94,7.81,36.92,7.46,4.62,20,14.06,12.31,11.2,36.92,12.9885283,2720,456,1397,260,14,0.7295346,1.33125,1397,206.5,14,0.5788257,1.33125,1397,231.5,14,0.662973642,1.3375,4042,988.5,40.5,3.53534961,1.3375,4042,543.5,40.5,1.73399293,1.3375,4042,503.5,40.5,1.638672,1.3375,74.62501,1.55,1.55,99.80924
09/08/2026 11:33:28,7.81,1.56,12.5,6.25,0,7.81,29.69,0,6.25,25,20.31,21.88,11.59,29.69,12.8247023,2920,445,1797,133.5,18,0.3125447,1.34375,1797,254.5,18,0.7441606,1.34375,4042,134,40.5,0.286530823,1.34375,1797,637.5,18,2.269979,1.34375,4042,585.5,40.5,2.0006876,1.34375,4042,922.5,40.5,3.10291815,1.34375,74.12501,1.55,1.55,99.80921
09/08/2026 11:33:30,14.06,4.69,9.38,6.25,6.25,6.25,18.75,15.62,10.94,48.44,12.5,17.19,14.19,48.44,13.0266953,2786,455,1397,180,14,0.5195538,1.3375,1397,179,14,0.470504433,1.3375,4042,116.5,40.5,0.2612672,1.35,4042,632.5,40.5,2.17341,1.35,4042,1120,40.5,3.99523878,1.35,1797,503.5,18,1.55081093,1.35,74.75001,1.55,1.55,99.8092346
09/08/2026 11:33:32,20,7.46,18.46,18.18,9.23,10.77,13.85,35.38,20,38.46,26.15,10.77,19.06,38.46,13.3864393,3668,491,4042,278.5,40.5,0.7623416,1.35625,1797,520.5,18,1.62208807,1.35625,4042,196,40.5,0.4399158,1.35625,4042,881.5,40.5,3.048486,1.35625,4042,907.5,40.5,3.10597873,1.35625,4042,160.5,40.5,0.3594493,1.35625,75.37501,1.55,1.55,99.80923
